,Compound,Negative,Neutral,Positive,Tweet,account,tweet ago
0,-0.7096,0.459,0.541,0.0,Schools cutting posts amid 'funding catastrophe' https://t.co/h6ZO7aL1u9,BBC News (UK),1
1,-0.6249,0.687,0.313,0.0,Met Police chief: Social media leads children to violence https://t.co/Fida2XJIeP,BBC News (UK),2
2,0.0,1.0,0.0,0.0,Stansted Airport: Flights to resume after cancellations https://t.co/rF0mxwcD0v,BBC News (UK),3
3,-0.3182,0.777,0.223,0.0,Islamic State 'Beatles' duo: Loss of citizenship 'illegal' https://t.co/bH2fgAMP9T,BBC News (UK),4
4,0.0,1.0,0.0,0.0,Paramedics set to prescribe medicines https://t.co/z4OvUlIAYF,BBC News (UK),5
5,-0.3612,0.762,0.238,0.0,Prof Stephen Hawking Cambridge funeral to take place https://t.co/hqEWEpPFsz,BBC News (UK),6
6,-0.3182,0.813,0.187,0.0,Ray Wilkins: Ex-England captain in critical condition in London hospital https://t.co/pNSHes4sTb,BBC News (UK),7
7,-0.765,0.476,0.524,0.0,Man arrested over fatal stabbing in Birkenhead https://t.co/EHCpcnobfJ,BBC News (UK),8
8,-0.2023,0.565,0.25,0.185,Five arrested after huge drugs haul in Dromore https://t.co/xrJnPpqPL3,BBC News (UK),9
9,-0.1027,0.851,0.149,0.0,Premier League to warn clubs about 'anti-extremist' group https://t.co/JyW8DoIy0l,BBC News (UK),10
10,-0.34,0.745,0.255,0.0,Black Mamba warning after seven Birmingham deaths https://t.co/6SmpDsuB6a,BBC News (UK),11
11,-0.7906,0.462,0.538,0.0,UK soldier killed in Syria fighting IS https://t.co/3zCpLYTcPN,BBC News (UK),12
12,0.0,1.0,0.0,0.0,"Revise seven hours a day over Easter, says education expert https://t.co/ZXMcvIjR9x",BBC News (UK),13
13,-0.25,0.439,0.325,0.237,Legal aid: Barristers to strike over 'relentless cuts' https://t.co/zEXNfDynMk,BBC News (UK),14
14,-0.34,0.714,0.286,0.0,Stansted Airport fire forces terminal evacuation https://t.co/oNBHviigkf,BBC News (UK),15
15,-0.7783,0.595,0.405,0.0,RT @BBCWorld: Vatican: Pope did not say there is no hell https://t.co/k9htWRJoNF,BBC News (UK),16
16,-0.5994,0.692,0.308,0.0,RT @BBCNorthAmerica: Terrifying moment Ohio cop is dragged by drug suspect's car https://t.co/hQ8Gg4fS27,BBC News (UK),17
17,-0.6124,0.615,0.385,0.0,Ofsted school hijab ban stance challenged by teachers' union https://t.co/5QObQmXuqd,BBC News (UK),18
18,-0.1027,0.6,0.22,0.18,Katherine Brewster missing from Brazil meditation retreat https://t.co/bbP7Prt8bn,BBC News (UK),19
19,0.4404,0.707,0.0,0.293,Corbyn: Labour must do better on anti-Semitism https://t.co/raYxYKscPU,BBC News (UK),20
20,0.0,1.0,0.0,0.0,RT @BBCNewsEnts: Fans were moved by #TheRealFullMontyLadiesNight as @vicderbyshire @wonderwomanshel @NolanColeen and more bared all for bre…,BBC News (UK),21
21,0.5598,0.816,0.0,0.184,RT @BBCBusiness: How did flip-flops become so popular? @bbcaaron reveals all about this #milliondollaridea for #TalkingBusiness https://t.c…,BBC News (UK),22
22,0.5719,0.598,0.0,0.402,Final wish granted as dog visits dying owner https://t.co/dOYPmuRPNn,BBC News (UK),23
23,0.0,1.0,0.0,0.0,RT @BBCPolitics: To mark one year to go until #Brexit day we put our #Brexitcast podcast on the telly! One 18 year old Brexitcaster asked u…,BBC News (UK),24
24,0.0,1.0,0.0,0.0,Heartbeat actor Bill Maynard dies at 89 https://t.co/BMeMLwjPpV,BBC News (UK),25
25,-0.7184,0.731,0.269,0.0,"RT @BBCScotlandNews: Hill walkers this Easter weekend have been urged to avoid stressing deer, who may have been weakened by the prolonged…",BBC News (UK),26
26,0.0,1.0,0.0,0.0,RT @BBCWorld: Cathay Pacific ends skirts-only rule for female staff https://t.co/3PTcts8skV,BBC News (UK),27
27,0.0,1.0,0.0,0.0,GKN takeover concerns to be assessed by government https://t.co/xT1LuoZkWR,BBC News (UK),28
28,-0.7707,0.394,0.606,0.0,Manchester attack fire crews 'should not apologise' https://t.co/fI8T0NDRDT,BBC News (UK),29
29,-0.6597,0.732,0.268,0.0,The Real Full Monty: 'Empowering' stars bare all for breast cancer awareness https://t.co/no3zBwB0uM,BBC News (UK),30
30,0.0,1.0,0.0,0.0,"Motorway petrol prices 'exploitative', says Chris Grayling https://t.co/EikzKupliF",BBC News (UK),31
31,-0.6908,0.561,0.439,0.0,Rugby rape trial juror's comments investigated https://t.co/entrSYuz3G,BBC News (UK),32
32,0.34,0.769,0.0,0.231,Delays at Dover after heightened French border security https://t.co/arKvSQIYJ8,BBC News (UK),33
33,-0.2732,0.769,0.231,0.0,New £30m fund to cut rough sleepers https://t.co/QB6X8nJDPJ,BBC News (UK),34
34,-0.3182,0.839,0.161,0.0,New Zealand v England: Jonny Bairstow hits unbeaten 97 as batsmen struggle again https://t.co/Oz854szfBN,BBC News (UK),35
35,-0.5423,0.842,0.158,0.0,RT @BBCNewsAsia: Just in case you missed this epic story of how a camera lost at sea for more than two years was discovered on a Taiwan bea…,BBC News (UK),36
36,-0.8689,0.38,0.62,0.0,Thousands of violent crime suspects released without conditions https://t.co/LMck4KzAkb,BBC News (UK),37
37,-0.3182,0.796,0.204,0.0,MPs urge Corbyn to suspend Shawcroft amid anti-Semitism row https://t.co/DZCVVLaZb8,BBC News (UK),38
38,0.0,1.0,0.0,0.0,Prince of Wales 'deeply moved' in televised Easter message https://t.co/rXXzRn4dqj,BBC News (UK),39
39,0.0,1.0,0.0,0.0,'Sugar baby' students sell their company to fund studies https://t.co/sRqrG7mWLV,BBC News (UK),40
40,0.0,1.0,0.0,0.0,Manchester Arena bombing: Compulsory first aid training call https://t.co/xwuXAa3VKG,BBC News (UK),41
41,0.0,1.0,0.0,0.0,Car hire cost clean-up continues https://t.co/eYHB4QL0NZ,BBC News (UK),42
42,-0.4215,0.714,0.286,0.0,Hospital's 'artificial feeding' letter to mothers criticised https://t.co/KVsmjNLQM9,BBC News (UK),43
43,0.0,1.0,0.0,0.0,'Unjustifiably high salaries' paid by some academies https://t.co/hg4n6eosCR,BBC News (UK),44
